	id	similarityStruct.MACCS.Dice	similarityStruct.Morgan.Dice	similarityStruct.MorganPure.Dice	similarityStruct.RDK.Dice	similarityStruct.AtomPair.Dice	similarityStruct.Torsion.Dice	similarityStruct.MACCS.Tanimoto	similarityStruct.RDKDice.Tanimoto	Source.MineID	Source.PubChemCID	Source.DrugBankID
122	DB12146	0.6512	0.575	0.45	0.4096	0.4956	0.4124	0.4828	0.2576	5	969516	DB11672
123	DB12179	0.8	0.7347	0.585	0.5698	0.5462	0.6222	0.6667	0.3984	5	969516	DB11672
124	DB12226	0.8	0.6122	0.4218	0.6044	0.4545	0.4889	0.6667	0.4331	5	969516	DB11672
125	DB12251	0.6557	0.5106	0.4113	0.4274	0.4513	0.4444	0.4878	0.2718	5	969516	DB11672
126	DB12577	0.7692	0.6174	0.5369	0.5748	0.4062	0.5275	0.625	0.4033	5	969516	DB11672
127	DB12596	0.8966	0.6525	0.4539	0.5165	0.4211	0.4494	0.8125	0.3482	5	969516	DB11672
128	DB12618	0.8163	0.5234	0.4673	0.595	0.3793	0.4762	0.6897	0.4235	5	969516	DB11672
129	DB12812	0.7937	0.5	0.4	0.3928	0.5231	0.4444	0.6579	0.2444	5	969516	DB11672
130	DB12882	0.6835	0.6323	0.5419	0.5133	0.3789	0.5	0.5192	0.3453	5	969516	DB11672
131	DB13016	0.7812	0.4878	0.378	0.3671	0.4944	0.3429	0.641	0.2248	5	969516	DB11672
132	DB13027	0.8364	0.5191	0.4122	0.3727	0.5046	0.4051	0.7188	0.229	5	969516	DB11672
133	DB13039	0.7419	0.5036	0.3597	0.4062	0.4889	0.3011	0.5897	0.2549	5	969516	DB11672
134	DB13143	0.678	0.4848	0.3939	0.3629	0.439	0.4419	0.5128	0.2217	5	969516	DB11672
135	DB13472	0.7143	0.5526	0.3289	0.5589	0.4312	0.3043	0.5556	0.3879	5	969516	DB11672
136	DB13692	0.6667	0.6069	0.4276	0.4336	0.4135	0.3333	0.5	0.2768	5	969516	DB11672
137	DB13869	0.7018	0.5714	0.3968	0.515	0.4683	0.3733	0.5405	0.3468	5	969516	DB11672
138	DB13873	0.7241	0.4741	0.3556	0.3876	0.4557	0.3373	0.5676	0.2404	5	969516	DB11672
139	DB13948	0.6286	0.6286	0.4571	0.435	0.3986	0.4048	0.4583	0.278	5	969516	DB11672
140	DB14122	0.8889	0.6565	0.5344	0.5012	0.5534	0.4051	0.8	0.3344	5	969516	DB11672
141	DB14129	0.6866	0.6573	0.4476	0.5706	0.5076	0.5111	0.5227	0.3992	5	969516	DB11672
142	DB14188	0.7917	0.5741	0.537	0.8367	0.4235	0.5484	0.6552	0.7192	5	969516	DB11672
143	DB14635	0.7733	0.8625	0.875	0.8135	0.7545	0.8817	0.6304	0.6857	5	969516	DB11672
144	DB14668	0.7547	0.585	0.3537	0.5073	0.4907	0.3636	0.6061	0.3398	5	969516	DB11672
145	DB14680	0.8889	0.705	0.5755	0.6928	0.4695	0.6047	0.8	0.53	5	969516	DB11672
146	DB14849	0.6486	0.5231	0.3846	0.3767	0.3981	0.325	0.48	0.232	5	969516	DB11672
147	DB15246	0.8621	0.5287	0.5057	0.4761	0.5163	0.4771	0.7576	0.3124	5	969516	DB11672
148	DB15359	0.8387	0.6849	0.5753	0.4922	0.5594	0.4444	0.7222	0.3264	5	969516	DB11672
149	DB15377	0.6102	0.527	0.3784	0.3925	0.4981	0.5319	0.439	0.2442	5	969516	DB11672
150	DB15398	0.7188	0.5294	0.3971	0.5437	0.4291	0.3836	0.561	0.3733	5	969516	DB11672
151	DB15589	0.8	0.5664	0.4602	0.6322	0.5152	0.4375	0.6667	0.4622	5	969516	DB11672
152	DB16028	0.6486	0.5638	0.3624	0.4236	0.4359	0.3736	0.48	0.2687	5	969516	DB11672
153	DB16351	0.6053	0.5658	0.3553	0.4297	0.3947	0.3158	0.434	0.2736	5	969516	DB11672
154	DB00136	0.7568	0.4961	0.3101	0.5472	0.3311	0.2549	0.6087	0.3767	6	5321018	
155	DB00146	0.7887	0.5039	0.315	0.5473	0.3322	0.2828	0.6512	0.3768	6	5321018	
156	DB00153	0.806	0.5039	0.315	0.5439	0.3367	0.2772	0.675	0.3735	6	5321018	
157	DB00162	0.6102	0.5385	0.2692	0.4701	0.359	0.1096	0.439	0.3073	6	5321018	
158	DB00169	0.7941	0.512	0.32	0.5422	0.3513	0.2857	0.6585	0.3719	6	5321018	
159	DB00253	0.8286	0.5043	0.2783	0.5075	0.3884	0.1091	0.7073	0.34	6	5321018	
160	DB00378	0.8615	0.5225	0.2883	0.5644	0.4333	0.1154	0.7568	0.3932	6	5321018	
161	DB00396	0.8615	0.5405	0.2883	0.4854	0.4253	0.1154	0.7568	0.3205	6	5321018	
162	DB00523	0.7241	0.5472	0.283	0.5163	0.3578	0.1081	0.5676	0.3479	6	5321018	
163	DB00717	0.8235	0.5138	0.2752	0.4769	0.3306	0.1176	0.7	0.3131	6	5321018	
164	DB00755	0.7241	0.5472	0.283	0.5163	0.3578	0.1081	0.5676	0.3479	6	5321018	
165	DB00894	0.8824	0.5688	0.3303	0.5536	0.4911	0.101	0.7895	0.3828	6	5321018	
166	DB00982	0.7241	0.5472	0.283	0.5163	0.3578	0.1081	0.5676	0.3479	6	5321018	
167	DB00984	0.8406	0.4627	0.2388	0.524	0.3693	0.1071	0.725	0.355	6	5321018	
168	DB00990	0.8923	0.5926	0.3889	0.5458	0.559	0.1359	0.8056	0.3753	6	5321018	
169	DB01134	0.8	0.4961	0.2481	0.5572	0.392	0.1391	0.6667	0.3862	6	5321018	
170	DB01380	0.7595	0.5079	0.2698	0.5308	0.3625	0.1186	0.6122	0.3613	6	5321018	
171	DB01431	0.806	0.5091	0.2545	0.465	0.3535	0.1188	0.675	0.303	6	5321018	
172	DB01434	0.8571	0.5577	0.3077	0.4711	0.4444	0.1263	0.75	0.3081	6	5321018	
173	DB01436	0.7778	0.5039	0.315	0.5423	0.35	0.2574	0.6364	0.3721	6	5321018	
174	DB01443	0.8571	0.5385	0.3077	0.4701	0.4839	0.1053	0.75	0.3073	6	5321018	
175	DB01455	0.806	0.4808	0.2308	0.498	0.3696	0.1053	0.675	0.3316	6	5321018	
176	DB01469	0.6383	0.4173	0.2446	0.4913	0.3894	0.2069	0.4688	0.3257	6	5321018	
177	DB01485	0.8169	0.5185	0.2963	0.5895	0.4076	0.1154	0.6905	0.418	6	5321018	
178	DB01500	0.8	0.5094	0.283	0.5727	0.3719	0.1616	0.6667	0.4012	6	5321018	
179	DB01521	0.8056	0.5185	0.2963	0.5084	0.3927	0.1154	0.6744	0.3409	6	5321018	
180	DB01540	0.8169	0.5185	0.2963	0.5692	0.361	0.1553	0.6905	0.3978	6	5321018	
181	DB01541	0.8529	0.5472	0.3019	0.5253	0.4413	0.1	0.7436	0.3562	6	5321018	
182	DB01554	0.806	0.5	0.2308	0.5024	0.3492	0.1263	0.675	0.3355	6	5321018	
183	DB01569	0.7838	0.5217	0.313	0.5434	0.4206	0.1071	0.6444	0.3731	6	5321018	
184	DB02187	0.8235	0.4808	0.3654	0.467	0.4608	0.1474	0.7	0.3046	6	5321018	
185	DB02300	0.7778	0.4923	0.3077	0.5472	0.3234	0.243	0.6364	0.3767	6	5321018	
